;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
505;Nova Esperança do Piriá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
506;Nova Ipixuna (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
507;Nova Timboteua (PA);0;0;0;0;0;0;0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;250.0;250.0;250.0;250.0;250.0;250.0;Palm oil;108.0
508;Novo Progresso (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
509;Novo Repartimento (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
510;Óbidos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
511;Oeiras do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
512;Oriximiná (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
513;Ourém (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
514;Ourilândia do Norte (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
515;Pacajá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
516;Palestina do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
517;Paragominas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
518;Parauapebas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
519;Pau D'Arco (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
520;Peixe-Boi (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
521;Piçarra (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
522;Placas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
523;Ponta de Pedras (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
524;Portel (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
525;Porto de Moz (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
526;Prainha (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
527;Primavera (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
528;Quatipuru (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
529;Redenção (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
530;Rio Maria (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
531;Rondon do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
532;Rurópolis (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
533;Salinópolis (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
534;Salvaterra (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
