;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
1124;São João do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000.0;400.0;Soy;66.66666666666667
1125;São Miguel do Guamá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1126;São Sebastião da Boa Vista (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1127;Sapucaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1128;Senador José Porfírio (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1129;Soure (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1130;Tailândia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;120.0;200.0;700.0;900.0;3000.0;4370.0;6000.0;5000.0;Soy;966.1904761904761
1131;Terra Alta (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1132;Terra Santa (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1133;Tomé-Açu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1134;Tracuateua (PA);0;0;0;0;0;0;0;700.0;450.0;0;0;0;0;0;0;0;0;100.0;130.0;100.0;270.0;Soy;83.33333333333333
1135;Trairão (PA);0;0;0;0;0;0;100.0;100.0;100.0;100.0;0;0;0;0;0;0;0;0;0;0;0;Soy;19.047619047619047
1136;Tucumã (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1137;Tucuruí (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1138;Ulianópolis (PA);170.0;320.0;340.0;100.0;0;600.0;2180.0;3775.0;5100.0;6440.0;1645.0;5500.0;8275.0;9500.0;10000.0;7000.0;24466.0;32189.0;32189.0;46000.0;48500.0;Soy;11632.809523809523
1139;Uruará (PA);0;0;0;5.0;0;0;10.0;350.0;350.0;270.0;160.0;260.0;265.0;360.0;470.0;532.0;670.0;670.0;648.0;400.0;400.0;Soy;277.14285714285717
1140;Vigia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1141;Viseu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1142;Vitória do Xingu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1143;Xinguara (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.0;0;0;0;0;Soy;0.9047619047619048
